COMPANYCD;OBJECTCODE;OBJECTNUM;CANCELED;COMMIT;UNACTIVE;STRDATE;ENDDATE;CODE;NAME;REMARK
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6001;N;COMMIT;N;2000-01-01;2100-12-31;AddTType;가산세액종류;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6002;N;COMMIT;N;2000-01-01;2100-12-31;BANK;환급은행코드;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6003;N;COMMIT;N;2000-01-01;2100-12-31;CredType;신용카드종류;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6004;N;COMMIT;N;2000-01-01;2100-12-31;DeemAcct;의제매입 원재료계정;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6005;N;COMMIT;N;2000-01-01;2100-12-31;DEEMRATE;의제매입세액율;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6006;N;COMMIT;N;2000-01-01;2100-12-31;DIVACT;안분계산 가공 전체매출 계정;NULL
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6007;N;COMMIT;N;2000-01-01;2100-12-31;DIVAVAT;안분계산변경부가세코드;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6008;N;COMMIT;N;2000-01-01;2100-12-31;DIVTACT;안분계산 전체매출 계정;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6009;N;COMMIT;N;2000-01-01;2100-12-31;EGTType;기타경감 공제세액 종류;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6010;N;COMMIT;N;2000-01-01;2100-12-31;ETaxType;전자/일반;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6011;N;COMMIT;N;2000-01-01;2100-12-31;FileList;변환파일신고리스트;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6012;N;COMMIT;N;2000-01-01;2100-12-31;FixType;고정자산종류;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6013;N;COMMIT;N;2000-01-01;2100-12-31;Gubn;구분;1기예정,확정,2기예정,확정, 조기환급
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6014;N;COMMIT;N;2000-01-01;2100-12-31;MenuXML;부가세 XML 파일이름 설정.;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6015;N;COMMIT;N;2000-01-01;2100-12-31;NonType;불공제종류;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6016;N;COMMIT;N;2000-01-01;2100-12-31;RebateVAT;관세환급부가세코드;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6017;N;COMMIT;N;2000-01-01;2100-12-31;ReType;환급구분코드;NULL
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6018;N;COMMIT;N;2000-01-01;2100-12-31;STaxList;전자일괄신고리스트;NULL
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6019;N;COMMIT;N;2000-01-01;2100-12-31;TaxList;신고서리스트;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6020;N;COMMIT;N;2000-01-01;2100-12-31;TaxStype;부가세신고유형;사용여부에 하나만 체크.
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6021;N;COMMIT;N;2000-01-01;2100-12-31;TaxType;세금유형;
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6022;N;COMMIT;N;2000-01-01;2100-12-31;UnitType;단위사업장적용기준;사용여부에 하나만 체크.
ZZ;BSNC_VAT_0010;b5df6d37-66a2-4ce1-b91c-be5fc88e6023;N;COMMIT;N;2000-01-01;2100-12-31;ZTAS828;간주임대료 주소지;
